Gyro X, Gyro Y, Gyro Z, Accel X, Accel Y, Accel Z
-0.14, 0.21, 0.02, -0.04, -0.04, 9.72
-0.05, 0.25, 0.04, -0.04, -0.08, 9.81
-0.11, 0.23, -0.02, -0.06, -0.04, 9.83
-0.08, 0.10, -0.02, -0.04, -0.05, 9.78
-0.11, -0.01, 0.01, -0.06, -0.04, 9.81
0.01, -0.01, 0.02, -0.06, -0.05, 9.81
0.11, 0.15, 0.19, -0.06, -0.05, 9.81
0.04, 0.06, 0.08, -0.10, -0.04, 9.87
0.04, 0.14, 0.14, -0.10, -0.03, 9.79
0.19, 0.20, 0.02, -0.03, -0.03, 9.74
0.31, 0.14, -0.06, -0.06, 0.04, 9.79
0.12, 0.14, -0.01, -0.09, 0.01, 9.75
-0.11, 0.03, 0.05, -0.05, -0.03, 9.76
-0.03, -0.05, 0.09, -0.07, -0.01, 9.80
-0.05, -0.12, 0.06, -0.09, -0.02, 9.79
-0.07, -0.26, 0.03, -0.04, -0.00, 9.85
-0.21, -0.21, 0.02, -0.07, 0.02, 9.79
-0.31, -0.07, -0.02, 0.00, -0.01, 9.77
-0.06, -0.02, 0.07, -0.07, -0.03, 9.83
0.09, -0.05, -0.12, -0.04, -0.05, 9.76
0.10, -0.07, -0.15, -0.04, -0.01, 9.80
0.01, 0.12, -0.05, 0.01, -0.01, 9.81
-0.03, 0.11, -0.04, -0.05, -0.01, 9.76
0.06, 0.05, -0.21, 0.00, -0.00, 9.84
-0.05, 0.13, -0.18, -0.00, -0.02, 9.81
0.08, 0.12, 0.01, -0.05, 0.02, 9.80
0.08, 0.04, 0.12, -0.08, -0.03, 9.78
-0.05, -0.02, 0.12, -0.02, 0.02, 9.74
-0.09, -0.08, 0.09, -0.03, 0.02, 9.80
-0.18, -0.03, 0.05, -0.04, 0.01, 9.76
0.05, 0.08, 0.08, -0.03, -0.05, 9.73
-0.14, -0.07, 0.02, -0.02, 0.01, 9.81
-0.19, 0.03, 0.02, 0.03, -0.02, 9.85
0.13, -0.04, 0.10, -0.00, -0.03, 9.80
